Franchise,Conference,Win,Lost,WinPercentage,GamesBehind,ConferenceRecord,DivisionRecord,HomeRecord,RoadRecord,OverTimeRecord,Last10Record,Streak
Golden State Warriors,Western,16,13,0.552,8,9-7,3-2,11-6,5-7,1-1,6-4,W 2
Houston Rockets,Western,55,27,0.671,12,36-16,10-6,30-11,25-16,3-0,5-5,W 1
Houston Rockets,Western,41,41,0.5,32,28-24,8-8,23-18,18-23,4-2,6-4,W 3
Houston Rockets,Western,44,28,0.611,8.5,28-19,8-5,24-12,20-16,2-1,5-5,L 3
Houston Rockets,Western,53,29,0.646,4,32-20,10-6,31-10,22-19,2-4,8-2,L 1
Houston Rockets,Western,65,17,0.793,0,41-11,12-4,34-7,31-10,2-0,7-3,L 1
Houston Rockets,Western,11,17,0.393,12.5,8-10,4-4,5-6,6-11,0-1,2-8,L 7
Indiana Pacers,Eastern,45,28,0.616,11,28-19,8-7,25-11,20-17,3-1,7-3,W 2
Indiana Pacers,Eastern,48,34,0.585,12,33-19,11-5,29-12,19-22,1-0,4-6,W 1
Indiana Pacers,Eastern,48,34,0.585,11,32-20,10-6,27-14,21-20,3-0,7-3,L 1
Indiana Pacers,Eastern,42,40,0.512,11,26-26,8-8,29-12,13-28,4-2,6-4,W 5
Indiana Pacers,Eastern,45,37,0.549,12,30-22,8-8,26-15,19-22,1-7,7-3,W 3
Indiana Pacers,Eastern,15,14,0.517,4,9-8,3-2,7-9,8-5,3-1,4-6,W 1
Los Angeles Clippers,Western,49,23,0.681,3.5,32-16,8-6,27-9,22-14,2-1,6-4,W 2
Los Angeles Clippers,Western,51,31,0.622,16,31-21,10-6,29-12,22-19,1-1,8-2,W 7
Los Angeles Clippers,Western,53,29,0.646,20,31-21,9-7,29-12,24-17,5-1,8-2,L 1
Los Angeles Clippers,Western,48,34,0.585,9,28-24,11-5,26-15,22-19,5-1,6-4,W 1
Los Angeles Clippers,Western,42,40,0.512,23,24-28,12-4,22-19,20-21,0-1,4-6,L 4
Los Angeles Clippers,Western,21,9,0.7,3.5,12-6,5-2,10-5,11-4,0-0,6-4,L 1
